SMILES	Hansch pi	Hammett sigma p
[R]S(=O)(=O)N(C)C	00446	-0.299	0.554
[R]N1CCCC1C	00447	0.77	-0.677
[R]C(=O)NCC(N)=O	00448	-1.95	0.369
[R]c1cc(Cl)ccc1OC	00449	2.243	-0.047
[R]c1cnc(N)nc1	00450	-0.259	-0.028
[R]C(=O)CCc1ccccc1	00451	2.78	0.473
[R]n1cncn1	00452	-0.138	0.252
[R]C(=O)C(C)NC	00453	0.581	0.45
[R]C(=O)NCc1ccc(F)cc1	00454	1.289	0.39
[R]c1ccncn1	00455	0.421	0.293
[R]NC(=O)C(C)NC	00456	-0.869	-0.323
[R]c1ccc(C)cn1	00457	1.532	0.125
[R]C(=O)NCCCC	00458	0.581	0.36
[R]C(C)=C	00459	1.095	-0.066
[R]NCc1ccccn1	00460	0.285	-0.618
[R]Cc1ccc(OC)c(OC)c1	00461	1.868	-0.114
[R]NCc2ccc1OCOc1c2	00462	1.131	-0.596
[R]C(=O)c2ccc1ccccc1c2	00463	2.517	0.453
[R]S(=O)(=O)N1CCCCC1	00464	0.423	0.543
[R]C(=O)N2Cc1ccccc1C2	00465	1.126	0.388
[R]c1cc(Cl)ccc1Cl	00466	3.013	0.106
[R]NCc1ccc(Cl)cc1	00467	1.965	-0.582
[R]Nc1ccccc1N	00468	0.708	-0.462
[R]NC(CCC(O)=O)C(O)=O	00469	-0.618	-0.47
[R]C(=O)Nc1cccc(OC)c1	00470	0.802	0.448
[R]C(=O)Nc1ccccc1OC	00471	0.802	0.402
[R]Cc1cccc(C(F)(F)F)c1	00472	3.257	-0.036
[R]C(=O)NC(CCC(O)=O)C(O)=O	00473	-0.915	0.437
[R]N1CCOCC1C	00474	0.102	-0.634
[R]Nc1ccccc1Cl	00475	2.009	-0.316
[R]NCC(C)C	00476	0.884	-0.647
[R]SCC	00477	0.673	-0.044
[R]CC1CCCC1	00478	2.172	-0.136
[R]Nc1cccc(Br)c1	00479	2.283	-0.311
[R]n1cnc2c(N)ncnc12	00480	-0.243	0.056
[R]c1ccc(I)cc1	00481	3.235	0.075
[R]S(=O)(=O)Nc1nccs1	00482	0.095	0.545
[R]C(=O)Nc1cccnc1	00483	-0.257	0.492
[R]NC(=O)Nc1ccccc1	00484	0.746	-0.292
[R]Nc1ccc(Br)cc1	00485	2.283	-0.299
[R]Nc1ccc(OCC)cc1	00486	1.581	-0.422
[R]C=CC(O)=O	00487	0.524	0.307
[R]Oc1ccc(C)cc1	00488	2.136	-0.103
[R]c1ccon1	00489	0.416	0.166
[R]SCc1ccccc1	00490	2.107	-0.035
[R]Nc2ccc1OCCOc1c2	00491	0.808	-0.387
[R]C(=O)NCCC(O)=O	00492	-0.904	0.41
[R]NC(=O)c1ccc(OC)cc1	00493	0.749	-0.308
[R]C(CC)c1ccccc1	00494	3.101	-0.103
[R]CC(F)F	00495	0.509	0.087
[R]c1ccc(C(=O)OCC)cc1	00496	2.05	0.109
[R]S(=O)(=O)CC	00497	-0.273	0.589
[R]OCC(C)C	00498	1.201	-0.277
[R]NCCN(C)C	00499	-0.351	-0.633
[R]C1CCC(C)CC1	00500	2.502	-0.131
[R]NCC(F)(F)F	00501	0.645	-0.414
[R]c1cc(F)c(F)cc1F	00502	2.396	0.163
[R]CC(=O)N1CCOCC1	00503	-0.79	-0.103
[R]C(=O)CC(C)C	00504	1.894	0.458
[R]NCc1cccs1	00505	0.669	-0.598
[R]C(C(C)C)C(O)=O	00506	1.213	-0.031
[R]S(=O)(=O)N1CCCC1	00507	0.026	0.545
[R]c1ccc(F)c(C(F)(F)F)c1	00508	3	0.138
[R]Nc1ccccc1F	00509	1.631	-0.324
[R]OC1CCCC1	00510	1.176	-0.285
[R]C#C	00511	0.475	0.09
[R]CCC#N	00512	0.658	0.043
[R]c2cnc1ccccc1c2	00513	2.067	0.07
[R]CCNC(C)=O	00514	-0.511	-0.019
[R]Nc1cccc(F)c1	00515	1.631	-0.307
[R]C(=O)c1cccc(OC)c1	00516	1.262	0.461
[R]C(=O)Nc1ccccc1N	00517	0.272	0.44
[R]C(=O)Nc1cccc(Cl)c1	00518	1.573	0.489
